MedianIncome,HouseAge,AvgRooms,AvgBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal,lat,lon,name,admin1,admin2,cc,IncomeCategory,HouseAgeCategory,bedrooms_per_room,rooms_per_person
83252.0,41.0,6.0,1.0,322.0,2.6,37.88,-122.23,452600.0,37.87159,-122.27275,Berkeley,California,Alameda County,US,Medium,41-60,0.16666666666666666,2.3076923076923075
83014.0,21.0,6.0,1.0,2401.0,2.1,37.86,-122.22,358500.0,37.82437,-122.23163,Piedmont,California,Alameda County,US,Medium,21-40,0.16666666666666666,2.857142857142857
72574.0,52.0,8.0,1.1,496.0,2.8,37.85,-122.24,352100.0,37.82437,-122.23163,Piedmont,California,Alameda County,US,Medium,41-60,0.1375,2.857142857142857
56431.0,52.0,5.0,1.1,558.0,2.5,37.85,-122.25,341300.0,37.87159,-122.27275,Berkeley,California,Alameda County,US,Medium,41-60,0.22000000000000003,2.0
38462.0,52.0,6.0,1.1,565.0,2.2,37.85,-122.25,342200.0,37.87159,-122.27275,Berkeley,California,Alameda County,US,Low,41-60,0.18333333333333335,2.727272727272727
40369.0,52.0,4.0,1.1,413.0,2.1,37.85,-122.25,269700.0,37.87159,-122.27275,Berkeley,California,Alameda County,US,Low,41-60,0.275,1.9047619047619047
36591.0,52.0,4.0,1.0,1094.0,2.1,37.84,-122.25,299200.0,37.82437,-122.23163,Piedmont,California,Alameda County,US,Low,41-60,0.25,1.9047619047619047
31200.0,52.0,4.0,1.1,1157.0,1.8,37.84,-122.25,241400.00000000003,37.82437,-122.23163,Piedmont,California,Alameda County,US,Low,41-60,0.275,2.2222222222222223
20804.0,42.0,4.0,1.1,1206.0,2.0,37.84,-122.26,226700.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.275,2.0
36912.0,52.0,4.0,1.0,1551.0,2.2,37.84,-122.25,261100.00000000003,37.82437,-122.23163,Piedmont,California,Alameda County,US,Low,41-60,0.25,1.8181818181818181
32031.0,52.0,5.0,1.1,910.0,2.3,37.85,-122.26,281500.0,37.87159,-122.27275,Berkeley,California,Alameda County,US,Low,41-60,0.22000000000000003,2.173913043478261
32706.0,52.0,4.0,1.0,1504.0,2.0,37.85,-122.26,241800.00000000003,37.87159,-122.27275,Berkeley,California,Alameda County,US,Low,41-60,0.25,2.0
30750.0,52.0,5.0,1.0,1098.0,2.3,37.85,-122.26,213499.99999999997,37.87159,-122.27275,Berkeley,California,Alameda County,US,Low,41-60,0.2,2.173913043478261
26736.0,52.0,4.0,1.1,345.0,2.0,37.84,-122.26,191300.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.275,2.0
19167.0,52.0,4.0,1.0,1212.0,2.0,37.85,-122.26,159200.0,37.87159,-122.27275,Berkeley,California,Alameda County,US,Low,41-60,0.25,2.0
21250.0,50.0,4.0,1.1,697.0,2.6,37.85,-122.26,140000.0,37.87159,-122.27275,Berkeley,California,Alameda County,US,Low,41-60,0.275,1.5384615384615383
27750.0,52.0,5.0,1.0,793.0,2.4,37.85,-122.27,152500.0,37.87159,-122.27275,Berkeley,California,Alameda County,US,Low,41-60,0.2,2.0833333333333335
21202.0,52.0,4.0,1.0,648.0,2.1,37.85,-122.27,155500.0,37.87159,-122.27275,Berkeley,California,Alameda County,US,Low,41-60,0.25,1.9047619047619047
19911.0,50.0,5.0,1.1,990.0,2.4,37.84,-122.26,158700.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.22000000000000003,2.0833333333333335
26033.0,52.0,5.0,1.1,690.0,2.5,37.84,-122.27,162900.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.22000000000000003,2.0
13578.0,40.0,4.0,1.1,409.0,2.5,37.85,-122.27,147500.0,37.87159,-122.27275,Berkeley,California,Alameda County,US,Low,21-40,0.275,1.6
17135.0,42.0,4.0,1.0,929.0,2.5,37.85,-122.27,159800.0,37.87159,-122.27275,Berkeley,California,Alameda County,US,Low,41-60,0.25,1.6
17250.0,52.0,5.0,1.1,1015.0,2.1,37.84,-122.27,113900.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.22000000000000003,2.380952380952381
21806.0,52.0,5.0,1.0,853.0,2.6,37.84,-122.27,99700.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.2,1.923076923076923
26000.0,52.0,5.0,1.0,1006.0,2.4,37.84,-122.27,132600.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.2,2.0833333333333335
24038.0,41.0,4.0,1.0,317.0,2.7,37.85,-122.28,107500.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.25,1.4814814814814814
24598.0,49.0,4.0,1.0,607.0,2.5,37.85,-122.28,93800.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.25,1.6
18080.0,52.0,4.0,1.1,1102.0,2.8,37.85,-122.28,105500.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.275,1.4285714285714286
16424.0,50.0,4.0,1.0,1131.0,2.4,37.84,-122.28,108900.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.25,1.6666666666666667
16875.0,52.0,4.0,1.0,395.0,2.5,37.84,-122.28,132000.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.25,1.6
19274.0,49.0,5.0,1.2,863.0,2.3,37.84,-122.28,122300.00000000001,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.24,2.173913043478261
19615.0,52.0,4.0,1.1,1168.0,2.6,37.84,-122.28,115199.99999999999,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.275,1.5384615384615383
17969.0,48.0,5.0,1.2,1026.0,3.1,37.84,-122.27,110400.00000000001,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.24,1.6129032258064515
13750.0,49.0,5.0,1.1,754.0,2.3,37.83,-122.27,104900.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.22000000000000003,2.173913043478261
27303.0,51.0,4.0,1.1,1258.0,2.3,37.83,-122.27,109700.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.275,1.7391304347826089
14861.0,49.0,4.0,1.1,570.0,2.2,37.83,-122.27,97200.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.275,1.8181818181818181
10972.0,48.0,4.0,1.2,987.0,2.6,37.83,-122.27,104500.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.3,1.5384615384615383
14104.0,52.0,3.0,1.0,901.0,2.2,37.83,-122.28,103899.99999999999,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.3333333333333333,1.3636363636363635
34800.0,52.0,4.0,1.1,689.0,2.2,37.83,-122.26,191400.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.275,1.8181818181818181
25898.0,52.0,3.0,1.0,1377.0,2.0,37.83,-122.26,176000.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.3333333333333333,1.5
20978.0,52.0,4.0,1.1,946.0,2.4,37.83,-122.26,155400.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.275,1.6666666666666667
12852.0,51.0,3.0,1.2,517.0,2.1,37.83,-122.26,150000.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.39999999999999997,1.4285714285714286
10250.0,49.0,3.0,1.1,462.0,2.4,37.84,-122.26,118800.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.3666666666666667,1.25
39643.0,52.0,4.0,1.0,467.0,2.4,37.84,-122.26,188800.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.25,1.6666666666666667
30125.0,52.0,4.0,1.1,660.0,2.3,37.83,-122.26,184400.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.275,1.7391304347826089
26768.0,52.0,4.0,1.1,718.0,1.9,37.83,-122.26,182300.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.275,2.1052631578947367
20260.0,50.0,3.0,1.1,616.0,2.0,37.83,-122.26,142500.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.3666666666666667,1.5
17348.0,43.0,3.0,1.2,558.0,2.2,37.82,-122.27,137500.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,41-60,0.39999999999999997,1.3636363636363635
9506.0,40.0,3.0,1.2,423.0,2.6,37.82,-122.26,187500.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,21-40,0.39999999999999997,1.1538461538461537
17750.0,40.0,2.0,1.1,700.0,2.0,37.82,-122.27,112500.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,21-40,0.55,1.0
9218.0,21.0,2.0,1.0,735.0,1.7,37.82,-122.27,171900.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,21-40,0.5,1.1764705882352942
15045.0,43.0,4.0,1.1,1061.0,2.6,37.82,-122.27,93800.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,41-60,0.275,1.5384615384615383
11108.0,41.0,4.0,1.2,1959.0,2.7,37.82,-122.27,97500.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,41-60,0.3,1.4814814814814814
12475.0,52.0,4.0,1.1,1162.0,2.9,37.82,-122.27,104200.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,41-60,0.275,1.3793103448275863
16098.0,52.0,5.0,1.0,701.0,3.0,37.82,-122.28,87500.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.2,1.6666666666666667
14113.0,52.0,4.0,1.1,576.0,2.6,37.82,-122.28,83100.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.275,1.5384615384615383
15057.0,52.0,4.0,1.1,622.0,2.4,37.82,-122.28,87500.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.275,1.6666666666666667
8172.0,52.0,6.0,1.4,728.0,3.0,37.82,-122.28,85300.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.2333333333333333,2.0
12171.0,52.0,4.0,1.1,1074.0,3.5,37.82,-122.28,80300.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.275,1.1428571428571428
25625.0,2.0,2.0,0.8,94.0,1.6,37.82,-122.29,60000.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,0-20,0.4,1.25
33929.0,52.0,5.0,1.1,554.0,3.0,37.83,-122.29,75700.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.22000000000000003,1.6666666666666667
61183.0,49.0,5.0,1.3,86.0,3.7,37.82,-122.29,75000.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Medium,41-60,0.26,1.3513513513513513
9011.0,50.0,6.0,1.6,377.0,3.1,37.81,-122.29,86100.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,41-60,0.26666666666666666,1.9354838709677418
11910.0,52.0,7.0,1.5,521.0,3.3,37.81,-122.3,76100.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.21428571428571427,2.121212121212121
25938.0,48.0,6.0,1.4,392.0,2.9,37.81,-122.3,73500.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.2333333333333333,2.0689655172413794
11667.0,52.0,5.0,1.1,604.0,3.2,37.81,-122.3,78400.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.22000000000000003,1.5625
8056.0,48.0,4.0,1.1,788.0,2.4,37.81,-122.3,84400.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.275,1.6666666666666667
26094.0,52.0,6.0,1.7,492.0,3.3,37.8,-122.29,81300.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,41-60,0.2833333333333333,1.8181818181818183
18516.0,52.0,6.0,1.3,274.0,3.3,37.81,-122.3,85000.0,37.83132,-122.28525,Emeryville,California,Alameda County,US,Low,41-60,0.21666666666666667,1.8181818181818183
9802.0,46.0,4.0,1.1,1823.0,3.0,37.81,-122.29,129200.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,41-60,0.275,1.3333333333333333
17719.0,26.0,6.0,1.2,392.0,3.1,37.81,-122.29,82500.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,21-40,0.19999999999999998,1.9354838709677418
7286.0,46.0,3.0,1.1,582.0,2.1,37.81,-122.29,95200.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,41-60,0.3666666666666667,1.4285714285714286
17500.0,49.0,5.0,1.3,560.0,3.7,37.81,-122.29,75000.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,41-60,0.26,1.3513513513513513
4999.0,46.0,1.0,0.6,18.0,2.6,37.81,-122.29,67500.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,41-60,0.6,0.3846153846153846
24830.0,20.0,6.0,1.2,290.0,2.2,37.81,-122.29,137500.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,0-20,0.19999999999999998,2.727272727272727
9241.0,17.0,2.0,1.1,762.0,1.7,37.81,-122.28,177500.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,0-20,0.55,1.1764705882352942
24464.0,36.0,5.0,1.1,1236.0,2.4,37.81,-122.28,102099.99999999999,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,21-40,0.22000000000000003,2.0833333333333335
11111.0,19.0,5.0,1.2,721.0,3.5,37.81,-122.28,108300.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,0-20,0.24,1.4285714285714286
8026.0,23.0,5.0,1.2,1054.0,3.2,37.81,-122.29,112500.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,21-40,0.24,1.5625
20114.0,38.0,4.0,1.1,344.0,2.2,37.8,-122.28,131300.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,21-40,0.275,1.8181818181818181
15000.0,17.0,3.0,1.0,609.0,2.1,37.81,-122.28,162500.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,0-20,0.3333333333333333,1.4285714285714286
11667.0,52.0,3.0,1.0,183.0,3.3,37.81,-122.27,112500.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,41-60,0.3333333333333333,0.9090909090909092
15208.0,52.0,3.0,1.1,200.0,2.3,37.81,-122.28,112500.0,37.80437,-122.2708,Oakland,California,Alameda County,US,Low,41-60,0.3666666666666667,1.3043478260869565
